Token," ""ShortName"""," ""Series"""," ""CompanyName"""," ""ticksize"""," ""Lotsize"""," ""DateOfListing"""," ""DateOfDeListing"""," ""IssuePrice"""," ""FaceValue"""," ""ISINCode"""," ""52WeeksHigh"""," ""52WeeksLow"""," ""LifeTimeHigh"""," ""LifeTimeLow"""," ""HighDate"""," ""LowDate"""," ""Symbol"""," ""InstrumentType"""," ""PermittedToTrade"""," ""IssueCapital"""," ""WarningPercent"""," ""FreezePercent"""," ""CreditRating"""," ""IssueRate"""," ""IssueStartDate"""," ""InterestPaymentDate"""," ""IssueMaturityDate"""," ""BoardLotQty"""," ""Name"""," ""ListingDate"""," ""ExpulsionDate"""," ""ReAdmissionDate"""," ""RecordDate"""," ""ExpiryDate"""," ""NoDeliveryStartDate"""," ""NoDeliveryEndDate"""," ""MFill"""," ""AON"""," ""ParticipantInMarketIndex"""," ""BookClsStartDate"""," ""BookClsEndDate"""," ""EGM"""," ""AGM"""," ""Interest"""," ""Bonus"""," ""Rights"""," ""Dividends"""," ""LocalUpdateDateTime"""," ""DeleteFlag"""," ""Remarks"""," ""NormalMarketStatus"""," ""OddLotMarketStatus"""," ""SpotMarketStatus"""," ""AuctionMarketStatus"""," ""NormalMarketEligibility"""," ""OddLotlMarketEligibility"""," ""SpotMarketEligibility"""," ""AuctionlMarketEligibility"""," ""MarginPercentage"""," ""ExchangeCode"""
1267,GUJALK,EQ,GUJARAT ALKALIS & CHEMICALS LT,0.01,1,,,0,10.0,INE186A01019,900.0,483.6,1044.7,6.88,,,,0,0,0,673.8,449.2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,GUJALKALI
12686,MADBHA,EQ,MADHYA BHARAT AGRO PRODUCT LTD,0.01,1,,,0,10.0,INE900L01010,465.0,197.0,465.0,6.5,,,,0,0,0,501.2,334.2,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,MBAPL
1270,AMBCE,EQ,AMBUJA CEMENTS LTD,0.01,1,,,0,2.0,INE079A01024,624.95,453.05,706.95,10.93,,,,0,0,0,631.15,516.45,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,AMBUJACEM
1271,MOLPP1,E1,MOLD TEK PACKAGING PP RS 1.25,0.01,1,,,0,10.0,IN9893J01019,0.0,0.0,472.8,130.0,,,,0,0,0,469.35,312.95,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,MOLDTEKPP
12716,TEASER,EQ,TEAMLEASE SERVICES LIMITED,0.01,1,,,0,10.0,INE985S01024,3103.0,1641.2,5550.0,806.65,,,,0,0,0,2140.9,1427.3,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,TEAMLEASE
1274,VASRET,SM,VASA RETAIL AND OVERSEAS LTD,0.01,1,,,0,10.0,INE068Z01016,6.7,3.5,79.6,3.5,,,,0,0,0,5.25,4.75,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,VASA
12749,DJMED,EQ,DJ MEDIAPRINT AND LOGISTICS,0.01,1,,,0,10.0,INE0B1K01014,209.7,88.25,209.7,40.03,,,,0,0,0,116.56,77.71,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,DJML
128,ROUMOB,EQ,ROUTE MOBILE LTD,0.01,1,,,0,10.0,INE450U01017,1607.7,779.65,2389.0,625.0,,,,0,0,0,940.5,627.0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ROUTE
12809,MAFFI,EQ,HYBRID FINANCIAL SERVICES,0.01,1,,,0,5.0,INE965B01022,22.72,10.05,45.0,1.0,,,,0,0,0,17.43,14.26,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,HYBRIDFIN
1281,SHORE1,BE,SHOPPERS STOP RIGHTS ENTIT,0.01,1,,,0,10.0,INE498B20016,60.75,29.0,60.75,29.0,,,,0,0,0,63.75,27.35,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,SHOPER-RE
